"","description","url"
"49","FDA approved approved ramucirumab (CYRAMZA, Eli Lilly and Company) for use in combination with FOLFIRI for the treatment of patients with metastatic colorectal cancer (mCRC) whose disease has progressed on a first line bevacizumab-, oxaliplatin- and fluoropyrimidine-containing regimen. Ramucirumab is a recombinant human monoclonal IgG1 antibody that binds to the human vascular endothelial growth factor- receptor 2 (VEGF-R2), preventing the interaction of VEGF-R2 to its ligands. More Information. April 24, 2015 ","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm444496.htm"
"50","FDA approved dinutuximab (Unituxin, United Therapeutics Corporation), in combination with granulocyte-macrophage colony-stimulating factor (GM-CSF), interleukin-2 (IL-2), and 13-cis-retinoic acid (RA), for the treatment of pediatric patients with high-risk neuroblastoma who achieve at least a partial response to prior first-line multiagent, multimodality therapy.More Information. March 10, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm437480.htm"
"51","FDA approved filgrastim-sndz (ZARXIO Injection, Sandoz Inc.), as a biosimilar to US-licensed Neupogen for the five indications for which US-licensed Neupogen is approved. The formulation of ZARXIO differs from that of US-licensed Neupogen in one inactive component. More Information. March 6, 2015 ","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm436953.htm"
"52","FDA granted approval to nivolumab (OPDIVO, Bristol-Myers Squibb Company) for the treatment of patients with metastatic squamous non-small cell lung cancer (NSCLC) with progression on or after platinum-based chemotherapy. More Information. March 4, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm436566.htm"
"53","FDA granted accelerated approval to panobinostat (FARYDAK capsules, Novartis Pharmaceuticals) in combination with bortezomib and dexamethasone for the treatment of patients with multiple myeloma who have received at least two prior regimens, including bortezomib and an immunomodulatory agent. As a condition of this accelerated approval, FDA requires the sponsor to conduct a trial to verify and describe the clinical benefit of panobinostat for patients with multiple myeloma. More Information. February 23, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm435339.htm"
"54","FDA approved lenvatinib (Lenvima) for the treatment of patients with locally recurrent or metastatic, progressive, radioactive iodine-refractory differentiated thyroid cancer.
More Information. February 13, 2015
 ","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm434347.htm"
"55","FDA granted accelerated approval to palbociclib (IBRANCE, Pfizer, Inc.) for use in combination with letrozole for the treatment of postmenopausal women with estrogen receptor (ER)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced breast cancer as initial endocrine-based therapy for their metastatic disease. More Information. February 3, 2015 ","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm432886.htm"
"56","FDA approved ibrutinib (Imbruvica Capsules, Pharmacyclics, Inc.) for the treatment of patients with Waldenstrom’s macroglobulinemia (WM). Ibrutinib was initially approved in November 2013 for the treatment of patients with mantle cell lymphoma (MCL) who have received at least one prior therapy. Ibrutinib also received approval in February 2014 for the treatment of chronic lymphocytic leukemia (CLL) in patients who received at least one prior therapy and in July 2014 for the treatment of CLL with 17p deletion. More Information. January 29, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm432240.htm"
"57","FDA granted accelerated approval to nivolumab (OPDIVO, Bristol-Myers Squibb Company) for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. More Information. December 22, 2014","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm427807.htm"
"58","FDA approved olaparib capsules (Lynparza, AstraZeneca Pharmaceuticals LP) as monotherapy for the treatment of patients with deleterious or suspected deleterious germline BRCA mutated (gBRCAm) (as detected by an FDA-approved test) advanced ovarian cancer who have been treated with three or more prior lines of chemotherapy. More Information. December 19, 2014 ","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm427598.htm"
"59","FDA approved lanreotide (Somatuline Depot Injection, Ipsen Pharma) for the treatment of patients with unresectable, well or moderately differentiated, locally advanced or metastatic gastroenteropancreatic neuroendocrine tumors (GEP-NETs) to improve progression-free survival. More Information. December 16, 2014","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm427065.htm"
"60","FDA approved ramucirumab (Cyramza Injection, Eli Lilly and Company) for use in combination with docetaxel for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) with disease progression on or after platinum-based chemotherapy. More Information. December 12, 2014","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm426735.htm"
"61","FDA approved ruxolitinib (Jakafi, Incyte Corporation) for the treatment of patients with polycythemia vera (PV) who have had an inadequate response to or are intolerant of hydroxyurea (HU). More Information. December 4, 2014 ","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm425732.htm"
